id,name
BSO_hr_contract_category.001,Cadre
BSO_hr_contract_category.002,Prestataire
BSO_hr_contract_category.003,Employé
BSO_hr_contract_category.004,Agent de Maitrise
BSO_hr_contract_category.005,Indépendant
BSO_hr_contract_category.006,Stagiaire
BSO_hr_contract_category.007,CDD
BSO_hr_contract_category.008,CDI
BSO_hr_contract_category.009,Contrat d'apprentissage
BSO_hr_contract_category.010,Créateur
BSO_hr_contract_category.011,Indépendant
BSO_hr_contract_category.012,Mandataire
BSO_hr_contract_category.013,Prestataire
BSO_hr_contract_category.014,Stage 
BSO_hr_contract_category.015,Contrat de professionnalisation
BSO_hr_contract_category.016,Intérimaire
BSO_hr_contract_category.017,Apprentissage
