id,name,company_id
BSO.hr_job_001,Account Manager,
BSO.hr_job_002,Accountant,
BSO.hr_job_003,Architecte systèmes,
BSO.hr_job_004,"Business Development 
",
BSO.hr_job_005,"Business Development Manager
",
BSO.hr_job_006,Business development sales,
BSO.hr_job_007,Chargé de projet marketing/graphisme,
BSO.hr_job_008,Chef de projet,
BSO.hr_job_009,Chief Revenue Officer,
BSO.hr_job_010,Commercial sédentaire,
BSO.hr_job_011,Comptable,
BSO.hr_job_012,Delivery Manager,
BSO.hr_job_013,Directeur de projet,
BSO.hr_job_014,Directeur Technique International,
BSO.hr_job_015,Director Network Operations,
BSO.hr_job_016,Project Manager,
BSO.hr_job_017,Global Marketing Manager,
BSO.hr_job_018,Ingénieur d'affaires,
BSO.hr_job_019,Head of sales,
BSO.hr_job_020,Ingénieur Réseaux,
BSO.hr_job_021,Ingenieur d'affaires junior,
BSO.hr_job_022,Ingénieur d'affaires terrain,
BSO.hr_job_023,Ingénieur système,
BSO.hr_job_024,Managing Director,
BSO.hr_job_025,Network Engineer,
BSO.hr_job_026,New Business Executive,
BSO.hr_job_027,New business sales,
BSO.hr_job_028,Président,
BSO.hr_job_029,Responsable Adjoint Réseaux,
BSO.hr_job_030,Responsable Commercial,
BSO.hr_job_031,Responsable Commercial Grand Comptes,
BSO.hr_job_032,Responsable Développement,
BSO.hr_job_033,Responsable Opérationnel de Compte,
BSO.hr_job_034,Responsable RH,
BSO.hr_job_035,Responsable Support Système,
BSO.hr_job_036,Responsable technique opérationnel,
BSO.hr_job_037,Senior Delivery Manager,
BSO.hr_job_038,Service Delivery Manager,
BSO.hr_job_039,Supplier Manager,
BSO.hr_job_040,Technicien systèmes et réseaux,
