id,attribute_id/id,name,price_extra
roctool_imports.att_val_copper_cavity_4,roctool_imports.att_copper_cavity,4mm,0
roctool_imports.att_val_copper_cavity_5,roctool_imports.att_copper_cavity,5mm,0
roctool_imports.att_val_copper_cavity_6,roctool_imports.att_copper_cavity,6mm,0
roctool_imports.att_val_copper_cavity_8,roctool_imports.att_copper_cavity,8mm,0
roctool_imports.att_val_copper_cavity_10,roctool_imports.att_copper_cavity,10mm,0
roctool_imports.att_val_coils_terminals_6,roctool_imports.att_coils_terminals,T6-6,0
roctool_imports.att_val_coils_terminals_10,roctool_imports.att_coils_terminals,T10-6,0
roctool_imports.att_val_coils_terminals_16,roctool_imports.att_coils_terminals,T16-6,0
roctool_imports.att_val_coils_terminals_25,roctool_imports.att_coils_terminals,T25-6,0
roctool_imports.att_val_coils_terminals_35,roctool_imports.att_coils_terminals,T35-6,0
roctool_imports.att_val_cooling_unit_r15,roctool_imports.att_cooling_unit_rxx,R15,0
roctool_imports.att_val_cooling_unit_r30,roctool_imports.att_cooling_unit_rxx,R30,0
roctool_imports.att_val_cooling_unit_r45,roctool_imports.att_cooling_unit_rxx,R45,0
roctool_imports.att_val_cooling_unit_micro,roctool_imports.att_cooling_unit_micro_compact,Micro,0
roctool_imports.att_val_cooling_unit_compact,roctool_imports.att_cooling_unit_micro_compact,Compact,0
roctool_imports.att_val_cooling_unit_vs_true,roctool_imports.att_cooling_unit_vs,TRUE,0
roctool_imports.att_val_cooling_unit_vs_false,roctool_imports.att_cooling_unit_vs,FALSE,0
