id,product_tmpl_id/id,default_code,name,attribute_value_ids/id,barcode,type,purchase_ok,rental,sale_ok,standard_price,list_price,uom_id/id,uom_po_id/id
roctool_imports_product_product_copper_induction_RI04G,roctool_imports.product_template_copper_induction,Copper induction coils RI04G,Copper induction coils RI,roctool_imports.att_val_copper_cavity_4,,product,False,False,True,,,product.product_uom_meter,product.product_uom_meter
roctool_imports_product_product_copper_induction_RI06G,roctool_imports.product_template_copper_induction,Copper induction coils RI06G,Copper induction coils RI,roctool_imports.att_val_copper_cavity_5,,product,False,False,True,,,product.product_uom_meter,product.product_uom_meter
roctool_imports_product_product_copper_induction_RI10G,roctool_imports.product_template_copper_induction,Copper induction coils RI10G,Copper induction coils RI,roctool_imports.att_val_copper_cavity_6,,product,False,False,True,,,product.product_uom_meter,product.product_uom_meter
roctool_imports_product_product_copper_induction_RI16G,roctool_imports.product_template_copper_induction,Copper induction coils RI16G,Copper induction coils RI,roctool_imports.att_val_copper_cavity_8,,product,False,False,True,,,product.product_uom_meter,product.product_uom_meter
roctool_imports_product_product_copper_induction_RI25G,roctool_imports.product_template_copper_induction,Copper induction coils RI25G,Copper induction coils RI,roctool_imports.att_val_copper_cavity_10,,product,False,False,True,,,product.product_uom_meter,product.product_uom_meter
roctool_imports_product_product_coils_terminal_6,roctool_imports.product_template_coils_terminal,Coils terminals T6-6,Coils terminals,roctool_imports.att_val_coils_terminals_6,,product,False,False,True,,,product.product_uom_unit,product.product_uom_unit
roctool_imports_product_product_coils_terminal_10,roctool_imports.product_template_coils_terminal,Coils terminals T10-6,Coils terminals,roctool_imports.att_val_coils_terminals_10,,product,False,False,True,,,product.product_uom_unit,product.product_uom_unit
roctool_imports_product_product_coils_terminal_16,roctool_imports.product_template_coils_terminal,Coils terminals T16-6,Coils terminals,roctool_imports.att_val_coils_terminals_16,,product,False,False,True,,,product.product_uom_unit,product.product_uom_unit
roctool_imports_product_product_coils_terminal_25,roctool_imports.product_template_coils_terminal,Coils terminals T25-6,Coils terminals,roctool_imports.att_val_coils_terminals_25,,product,False,False,True,,,product.product_uom_unit,product.product_uom_unit
roctool_imports_product_product_coils_terminal_35,roctool_imports.product_template_coils_terminal,Coils terminals T35-6,Coils terminals,roctool_imports.att_val_coils_terminals_35,,product,False,False,True,,,product.product_uom_unit,product.product_uom_unit
roctool_imports_product_product_cooling_unit_r15_compact,roctool_imports.product_template_cooling_unit,Cooling Unit R15 Compact ,Cooling Unit,"roctool_imports.att_val_cooling_unit_r15,roctool_imports.att_val_cooling_unit_compact",,product,False,False,True,,,product.product_uom_unit,product.product_uom_unit
roctool_imports_product_product_cooling_unit_r15_micro,roctool_imports.product_template_cooling_unit,Cooling Unit R15 Micro ,Cooling Unit,"roctool_imports.att_val_cooling_unit_r15,roctool_imports.att_val_cooling_unit_micro",,product,False,False,True,,,product.product_uom_unit,product.product_uom_unit
roctool_imports_product_product_cooling_unit_r15_micro_vs,roctool_imports.product_template_cooling_unit,Cooling Unit R15 Micro VS,Cooling Unit,"roctool_imports.att_val_cooling_unit_r15,roctool_imports.att_val_cooling_unit_micro,roctool_imports.att_val_cooling_unit_vs_true",,product,False,False,True,,,product.product_uom_unit,product.product_uom_unit
roctool_imports_product_product_cooling_unit_r30_micro,roctool_imports.product_template_cooling_unit,Cooling Unit R30 Micro ,Cooling Unit,"roctool_imports.att_val_cooling_unit_r30,roctool_imports.att_val_cooling_unit_micro",,product,False,False,True,,,product.product_uom_unit,product.product_uom_unit
roctool_imports_product_product_cooling_unit_r30_micro_vs,roctool_imports.product_template_cooling_unit,Cooling Unit R30 Micro VS,Cooling Unit,"roctool_imports.att_val_cooling_unit_r30,roctool_imports.att_val_cooling_unit_micro,roctool_imports.att_val_cooling_unit_vs_true",,product,False,False,True,,,product.product_uom_unit,product.product_uom_unit
roctool_imports_product_product_cooling_unit_r45_micro,roctool_imports.product_template_cooling_unit,Cooling Unit R45 Micro,Cooling Unit,"roctool_imports.att_val_cooling_unit_r45,roctool_imports.att_val_cooling_unit_micro",,product,False,False,True,,,product.product_uom_unit,product.product_uom_unit
roctool_imports_product_product_cooling_unit_r45_micro_vs,roctool_imports.product_template_cooling_unit,Cooling Unit R45 Micro VS,Cooling Unit,"roctool_imports.att_val_cooling_unit_r45,roctool_imports.att_val_cooling_unit_micro,roctool_imports.att_val_cooling_unit_vs_true",,product,False,False,True,,,product.product_uom_unit,product.product_uom_unit
