id,groups_id/id
__setup__.ajanin,"analytic.group_analytic_accounting,account.group_account_invoice,base.group_partner_manager,base.group_user,maintenance.group_equipment_manager,stock.group_production_lot,product.group_uom,product.group_product_variant,hr_expense.group_hr_expense_manager,hr.group_hr_manager,hr_holidays.group_hr_holidays_manager,base.group_multi_company,base.group_multi_currency,hr_timesheet.group_hr_timesheet_user,hr_expense.group_hr_expense_user,hr_holidays.group_hr_holidays_user,hr.group_hr_user,product.group_product_pricelist,product.group_sale_pricelist,sale.group_show_price_subtotal,base.group_no_one,purchase.group_purchase_user"
__setup__.bnoailles,"analytic.group_analytic_accounting,base.group_partner_manager,base.group_user,stock.group_production_lot,product.group_uom,product.group_product_variant,base.group_multi_company,base.group_multi_currency,product.group_product_pricelist,product.group_sale_pricelist,sale.group_show_price_subtotal,base.group_no_one,project.group_project_user,purchase.group_purchase_user,survey.group_survey_user,sales_team.group_sale_salesman_all_leads,sales_team.group_sale_salesman"
__setup__.crepetti,"analytic.group_analytic_accounting,base.group_partner_manager,base.group_user,stock.group_production_lot,product.group_uom,product.group_product_variant,base.group_multi_company,base.group_multi_currency,product.group_product_pricelist,product.group_sale_pricelist,sale.group_show_price_subtotal,base.group_no_one,purchase.group_purchase_user,project.group_project_user,sales_team.group_sale_salesman_all_leads,sales_team.group_sale_salesman"
__setup__.claterrade,"base.group_erp_manager,account.group_account_user,account.group_account_manager,analytic.group_analytic_accounting,purchase.group_analytic_accounting,sale.group_analytic_accounting,account.group_account_invoice,base.group_partner_manager,website.group_website_designer,base.group_user,maintenance.group_equipment_manager,stock.group_production_lot,product.group_uom,product.group_product_variant,mrp.group_mrp_manager,hr.group_hr_manager,survey.group_survey_manager,project.group_project_manager,hr_expense.group_hr_expense_manager,sales_team.group_sale_manager,hr_holidays.group_hr_holidays_manager,stock.group_stock_manager,base.group_multi_company,base.group_multi_currency,hr_expense.group_hr_expense_user,hr_timesheet.group_hr_timesheet_user,hr.group_hr_user,hr_holidays.group_hr_holidays_user,product.group_product_pricelist,website.group_website_publisher,product.group_sale_pricelist,sale.group_show_price_subtotal,base.group_no_one,mrp.group_mrp_user,stock.group_stock_user,survey.group_survey_user,project.group_project_user,purchase.group_purchase_user,sales_team.group_sale_salesman_all_leads,sales_team.group_sale_salesman"
__setup__.dveber,"analytic.group_analytic_accounting,base.group_partner_manager,base.group_user,stock.group_production_lot,product.group_uom,product.group_product_variant,project.group_project_manager,base.group_multi_company,base.group_multi_currency,product.group_product_pricelist,product.group_sale_pricelist,sale.group_show_price_subtotal,base.group_no_one,project.group_project_user,survey.group_survey_user,stock.group_stock_user,purchase.group_purchase_user,sales_team.group_sale_salesman_all_leads,sales_team.group_sale_salesman"
__setup__.fperrier,"analytic.group_analytic_accounting,account.group_account_invoice,base.group_partner_manager,base.group_user,maintenance.group_equipment_manager,stock.group_production_lot,product.group_uom,product.group_product_variant,survey.group_survey_manager,project.group_project_manager,mrp.group_mrp_manager,hr.group_hr_manager,hr_holidays.group_hr_holidays_manager,stock.group_stock_manager,purchase.group_purchase_manager,hr_expense.group_hr_expense_manager,base.group_multi_company,base.group_multi_currency,hr.group_hr_user,hr_timesheet.group_hr_timesheet_user,hr_expense.group_hr_expense_user,hr_holidays.group_hr_holidays_user,product.group_product_pricelist,product.group_sale_pricelist,sale.group_show_price_subtotal,base.group_no_one,purchase.group_purchase_user,survey.group_survey_user,mrp.group_mrp_user,project.group_project_user,stock.group_stock_user,sales_team.group_sale_salesman_all_leads,sales_team.group_sale_salesman"
__setup__.fchevot,"analytic.group_analytic_accounting,base.group_partner_manager,base.group_user,maintenance.group_equipment_manager,stock.group_production_lot,product.group_uom,product.group_product_variant,hr_holidays.group_hr_holidays_manager,base.group_multi_company,base.group_multi_currency,hr_holidays.group_hr_holidays_user,hr.group_hr_user,product.group_product_pricelist,product.group_sale_pricelist,sale.group_show_price_subtotal,base.group_no_one,stock.group_stock_user,mrp.group_mrp_user,project.group_project_user,purchase.group_purchase_user"
__setup__.grigoni,"analytic.group_analytic_accounting,base.group_partner_manager,base.group_user,stock.group_production_lot,product.group_uom,product.group_product_variant,base.group_multi_company,base.group_multi_currency,product.group_product_pricelist,product.group_sale_pricelist,sale.group_show_price_subtotal,base.group_no_one,purchase.group_purchase_user,project.group_project_user,mrp.group_mrp_user,stock.group_stock_user,sales_team.group_sale_salesman_all_leads,sales_team.group_sale_salesman"
__setup__.jfmartinez,"analytic.group_analytic_accounting,account.group_account_invoice,base.group_partner_manager,base.group_user,maintenance.group_equipment_manager,stock.group_production_lot,product.group_uom,product.group_product_variant,hr_holidays.group_hr_holidays_manager,stock.group_stock_manager,purchase.group_purchase_manager,hr_expense.group_hr_expense_manager,survey.group_survey_manager,project.group_project_manager,mrp.group_mrp_manager,hr.group_hr_manager,base.group_multi_company,base.group_multi_currency,hr.group_hr_user,hr_timesheet.group_hr_timesheet_user,hr_expense.group_hr_expense_user,hr_holidays.group_hr_holidays_user,product.group_product_pricelist,website.group_website_publisher,product.group_sale_pricelist,sale.group_show_price_subtotal,base.group_no_one,survey.group_survey_user,mrp.group_mrp_user,stock.group_stock_user,project.group_project_user,purchase.group_purchase_user"
__setup__.jfeigenblum,"account.group_account_user,account.group_account_manager,analytic.group_analytic_accounting,account.group_account_invoice,base.group_partner_manager,website.group_website_designer,base.group_user,maintenance.group_equipment_manager,stock.group_production_lot,product.group_uom,product.group_product_variant,hr_holidays.group_hr_holidays_manager,project.group_project_manager,survey.group_survey_manager,hr.group_hr_manager,mrp.group_mrp_manager,stock.group_stock_manager,sales_team.group_sale_manager,hr_expense.group_hr_expense_manager,purchase.group_purchase_manager,base.group_multi_company,base.group_multi_currency,hr_expense.group_hr_expense_user,hr_holidays.group_hr_holidays_user,hr_timesheet.group_hr_timesheet_user,hr.group_hr_user,product.group_product_pricelist,website.group_website_publisher,product.group_sale_pricelist,sale.group_show_price_subtotal,base.group_no_one,mrp.group_mrp_user,survey.group_survey_user,project.group_project_user,stock.group_stock_user,purchase.group_purchase_user,sales_team.group_sale_salesman_all_leads,sales_team.group_sale_salesman"
